Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,10000.0,0.0780005,2.598381804095374E-9,10000.0,80.4,58.55185247843006,58.684654300168646,52.13675213675214,10000.0,128768.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,20000.0,0.1404009,5.84997509751055E-9,20000.0,83.745,66.09562352380127,66.06117548804677,61.02853032845841,20000.0,201424.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,30000.0,0.2028013,9.384006810684998E-9,30000.0,85.57666666666667,69.99820419109903,70.11121088623334,65.35073670723895,30000.0,218920.0,74.0,54.0,54.0,4.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,40000.0,0.2808018,1.5097347318298287E-8,40000.0,86.4,71.79348674950948,71.88775773861815,67.46411483253588,40000.0,283136.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,50000.0,0.3276021,1.8748803417922722E-8,50000.0,87.072,73.22633751620837,73.24281811408231,69.06584992343033,50000.0,301592.0,105.0,71.0,71.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,60000.0,0.3900025,2.3952282525805965E-8,60000.0,87.60333333333334,74.39674481356377,74.36498362915734,70.48646932783113,60000.0,322336.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,70000.0,0.468003,3.1903692450167406E-8,70000.0,88.02,75.29610138249038,75.30551547454283,71.57673535791757,70000.0,394048.0,144.0,95.0,95.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,80000.0,0.5460035,4.012662810728782E-8,80000.0,88.40625,76.10751547966701,76.12551159618008,72.49080555226006,80000.0,407504.0,146.0,96.0,96.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,90000.0,0.624004,4.935107722816368E-8,90000.0,88.7088888888889,76.74188279922713,76.73801075884171,73.20147679324896,90000.0,457136.0,172.0,109.0,109.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,100000.0,0.6864044,5.743589313680099E-8,100000.0,88.991,77.33715410237035,77.32160514172709,73.90119008107723,100000.0,500824.0,187.0,118.0,118.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,110000.0,0.7332047,6.363520336254603E-8,110000.0,89.28636363636365,77.95189871727446,77.93980008236309,74.61004825922096,110000.0,512032.0,191.0,120.0,120.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,120000.0,0.7956051,7.215962621259193E-8,120000.0,89.56416666666667,78.52623153225332,78.50350178522383,75.26614129683395,120000.0,528056.0,201.0,125.0,125.0,5.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,130000.0,0.8736056,8.410772703567313E-8,130000.0,89.74,78.8902386295641,78.86580786233777,75.67833698030634,130000.0,592112.0,226.0,142.0,142.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,140000.0,0.9516061,9.655028880967034E-8,140000.0,89.93214285714286,79.29358560344392,79.30857310628303,76.15301323046731,140000.0,616616.0,236.0,147.0,147.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,150000.0,1.0140065,1.0673847670853138E-7,150000.0,90.09866666666667,79.64371095803473,79.64587216314001,76.56267260016728,150000.0,631120.0,240.0,149.0,149.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,160000.0,1.092007,1.2031072758945326E-7,160000.0,90.265,79.98478641700902,79.99743161679721,76.9442553065514,160000.0,672600.0,259.0,160.0,160.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,170000.0,1.1544074,1.314810573183414E-7,170000.0,90.42529411764706,80.31862959758118,80.32848303200232,77.33229350898937,170000.0,691960.0,274.0,169.0,169.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,180000.0,1.2168078,1.431533706492434E-7,180000.0,90.55777777777779,80.59349202823677,80.60260214562885,77.64066672805968,180000.0,723056.0,281.0,174.0,174.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,190000.0,1.2948083,1.5799301066684227E-7,190000.0,90.70157894736842,80.88677323164193,80.89702972438178,77.9611541484226,190000.0,735408.0,285.0,176.0,176.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,200000.0,1.3572087,1.702232270491206E-7,200000.0,90.81099999999999,81.11145548793807,81.12366474938372,78.20911095828689,200000.0,757616.0,290.0,180.0,180.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,210000.0,1.4196091,1.8257574301233722E-7,210000.0,90.92809523809524,81.3530248696853,81.36766848905103,78.48074099175422,210000.0,765192.0,294.0,182.0,182.0,6.0,0.0,0.0,1.0
moa.classifiers.trees.HoeffdingTree,generators.RandomTreeGenerator,1,220000.0,1.4976096,1.9854943075444964E-7,220000.0,91.05727272727273,81.62428567906747,81.64310706787965,78.79705568547996,220000.0,791608.0,310.0,193.0,193.0,6.0,0.0,0.0,1.0
