Nr;Event;0-CMM;0-CMM Basic;0-CMM Missed;0-CMM Misplaced;0-CMM Noise;0-CA Seperability;0-CA Noise;0-F1-P;0-F1-R;0-Purity;0-GPrecision;0-GRecall;0-Redundancy;0-numCluster;0-numClasses;0-mean abs. error;0-root mean sq. er.;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-BSS;0-BSS-GT;0-BSS-Ratio;0-Rand statistic;1-CMM;1-CMM Basic;1-CMM Missed;1-CMM Misplaced;1-CMM Noise;1-CA Seperability;1-CA Noise;1-F1-P;1-F1-R;1-Purity;1-GPrecision;1-GRecall;1-Redundancy;1-numCluster;1-numClasses;1-mean abs. error;1-root mean sq. er.;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-BSS;1-BSS-GT;1-BSS-Ratio;1-Rand statistic;
0;;0.9107212762655098;0.755;0.990602833769711;1.0;0.11552583370576452;1.0;0.8573366627383762;0.09006647160439075;0.41025638168173323;0.9951576371220081;1.0;0.82;0.026;100.0;5.0;;;;;;0.29451683870792;143.36626803091227;90.96922344127553;1.575986499691967;0.8313621452003994;0.9107212762655098;0.755;0.990602833769711;1.0;0.11552583370576452;1.0;0.8573366627383762;0.09006647160439075;0.41025638168173323;0.9951576371220081;1.0;0.82;0.026;100.0;5.0;;;;;;0.29451683870792;143.36626803091227;90.96922344127553;1.575986499691967;0.8313621452003994;
1;;0.9048694982902807;0.673;0.9822485421274955;1.0;0.11152489971822455;1.0;0.7974953568454223;0.07949813618021007;0.31557534951350724;0.9897051311864117;1.0;0.723;0.068;100.0;5.0;;;;;;0.39439150019897873;126.72433787919039;81.24067389436101;1.5598632040395524;0.8020755452123458;0.9048694982902807;0.673;0.9822485421274955;1.0;0.11152489971822455;1.0;0.7974953568454223;0.07949813618021007;0.31557534951350724;0.9897051311864117;1.0;0.723;0.068;100.0;5.0;;;;;;0.39439150019897873;126.72433787919039;81.24067389436101;1.5598632040395524;0.8020755452123458;
2;;0.8842081803918023;0.687;0.9753230220217141;1.0;0.09591069527946894;1.0;0.8307164896316577;0.08155141037891037;0.33005948703037746;0.9963358276085424;1.0;0.754;0.039;100.0;5.0;;;;;;0.41988424272123204;116.94271883464734;77.47961306457003;1.509335349121962;0.8202844368288019;0.8842081803918023;0.687;0.9753230220217141;1.0;0.09591069527946894;1.0;0.8307164896316577;0.08155141037891037;0.33005948703037746;0.9963358276085424;1.0;0.754;0.039;100.0;5.0;;;;;;0.41988424272123204;116.94271883464734;77.47961306457003;1.509335349121962;0.8202844368288019;
3;;0.9223619461022594;0.696;0.9844583461324113;1.0;0.10577146943472315;1.0;0.8800766970580042;0.08426516463773266;0.36862498414291817;0.9931172046955246;1.0;0.742;0.021;100.0;5.0;;;;;;0.3138308950017907;126.5266365469036;74.08000078039157;1.7079729375542105;0.8060647961437268;0.9223619461022594;0.696;0.9844583461324113;1.0;0.10577146943472315;1.0;0.8800766970580042;0.08426516463773266;0.36862498414291817;0.9931172046955246;1.0;0.742;0.021;100.0;5.0;;;;;;0.3138308950017907;126.5266365469036;74.08000078039157;1.7079729375542105;0.8060647961437268;
4;;0.9132384924349306;0.724;0.9871551774641097;1.0;0.17511921170525768;1.0;0.827677213235134;0.08238475838846344;0.38747414929608537;0.9944118082874063;1.0;0.781;0.026;100.0;5.0;;;;;;0.37950428915973555;91.11750802512745;64.17710335263313;1.4197821850024177;0.8195236057623734;0.9132384924349306;0.724;0.9871551774641097;1.0;0.17511921170525768;1.0;0.827677213235134;0.08238475838846344;0.38747414929608537;0.9944118082874063;1.0;0.781;0.026;100.0;5.0;;;;;;0.37950428915973555;91.11750802512745;64.17710335263313;1.4197821850024177;0.8195236057623734;
