learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
280000.0,3.9936256,5.984971170054954E-7,280000.0,91.59821428571429,82.74370278905788,82.77477978809867,80.07284740163483,280000.0,908328.0,352.0,217.0,217.0,6.0,0.0,0.0,1.0
290000.0,4.1496266,6.358075292874127E-7,290000.0,91.68724137931035,82.92820123535006,82.95530070562948,80.28476561222155,290000.0,924496.0,366.0,227.0,227.0,6.0,0.0,0.0,1.0
300000.0,4.2900275,6.702272418122738E-7,300000.0,91.76633333333334,83.09165675636459,83.11712278207618,80.47459824357547,300000.0,947632.0,368.0,228.0,228.0,6.0,0.0,0.0,1.0
310000.0,4.4304284,7.055334971547126E-7,310000.0,91.84387096774194,83.25238984501051,83.28275314886443,80.66292427000322,310000.0,972040.0,375.0,233.0,233.0,6.0,0.0,0.0,1.0
320000.0,4.5708293,7.413802210781723E-7,320000.0,91.91968750000001,83.41042653293741,83.43498148551515,80.85106382978724,320000.0,986920.0,381.0,236.0,236.0,6.0,0.0,0.0,1.0
330000.0,4.7112302,7.78434282073751E-7,330000.0,91.97424242424242,83.5241961012215,83.55254986710386,80.98393848230505,330000.0,1020160.0,398.0,249.0,249.0,6.0,0.0,0.0,1.0
340000.0,4.8672312,8.213408364792251E-7,340000.0,92.02470588235295,83.6261673119775,83.64762427407537,81.0954014333919,340000.0,1063160.0,414.0,260.0,260.0,6.0,0.0,0.0,1.0
350000.0,5.0544324,8.748487757309857E-7,350000.0,92.07942857142856,83.73823738862085,83.76209554602751,81.22260981474582,350000.0,1104872.0,425.0,267.0,267.0,6.0,0.0,0.0,1.0
360000.0,5.2260335,9.249823378175497E-7,360000.0,92.14305555555555,83.87073424461043,83.89722919619932,81.37723525848673,360000.0,1129304.0,437.0,276.0,276.0,6.0,0.0,0.0,1.0
370000.0,5.4132347,9.824355039944252E-7,370000.0,92.19783783783784,83.98485077153607,84.014884297841,81.51359520485661,370000.0,1186336.0,456.0,290.0,290.0,7.0,0.0,0.0,1.0
380000.0,5.6004359,1.0412466216956577E-6,380000.0,92.25578947368422,84.10349937790384,84.12968915158446,81.6486757837103,380000.0,1214376.0,460.0,292.0,292.0,7.0,0.0,0.0,1.0
390000.0,5.7564369,1.0912483598147002E-6,390000.0,92.32512820512821,84.24377460970777,84.26924956773546,81.8018215202033,390000.0,1238968.0,476.0,303.0,303.0,7.0,0.0,0.0,1.0
400000.0,5.9124379,1.1431084833294154E-6,400000.0,92.38,84.35710847288723,84.38628574941217,81.93135337008714,400000.0,1285016.0,489.0,311.0,311.0,7.0,0.0,0.0,1.0
